tmax,tmin,rain,tmax_tomorrow
71,58,0,70
70,58,0,73
73,60,0,71
71,61,0,73
73,59,0,72
72,58,0,71
71,58,0,74
74,56,0,70
70,60,0,70
70,60,0,70
70,59,0,67
67,58,0,72
72,58,0,69
69,55,0,67
67,57,0,66
66,56,0,66
66,58,0,68
68,58,0,70
70,58,0,69
69,54,0,75
75,53,0,75
75,53,0,69
69,57,0,72
72,51,0,70
70,54,0,67
67,54,0.15,70
70,63,0.57,69
69,59,0.05,73
73,58,0,81
81,58,0,68
68,59,0,61
61,58,0,69
69,58,0.01,69
69,59,0,69
69,60,0,77
77,57,0,89
89,59,0,77
77,59,0,73
73,62,0,67
67,59,0.85,69
69,59,0,67
67,59,1.4,64
64,60,0.1,69
69,58,0.03,66
66,58,0.53,67
67,58,0.21,62
62,58,0.67,68
68,58,0.09,67
67,57,0,61
61,58,0,65
65,58,0,64
64,57,0,62
62,58,0,68
68,58,0,78
78,54,0,68
68,57,0,63
63,54,0,65
65,50,0,63
63,53,0,61
61,48,0,64
64,50,0,62
62,45,0,61
61,53,0,67
67,56,0,63
63,58,1,63
63,57,0.1,61
61,50,0,60
60,47,0,59
59,50,0.21,60
60,45,0,59
59,49,0.18,61
61,52,0.91,59
59,49,0.02,60
60,47,0,56
56,53,0.99,56
56,53,0.2,57
57,53,1.08,56
56,50,0.18,59
59,50,0,56
56,51,0.04,56
56,49,0.32,56
56,45,0,56
56,48,0,60
60,45,0.01,56
56,46,0,56
56,47,0,58
58,44,0,56
56,44,0,60
60,44,0,60
60,44,0,59
59,47,0,55
55,44,0,51
51,41,0,51
51,41,0,53
53,49,0.14,50
50,40,0.03,47
47,35,0.01,50
50,39,0.4,47
47,38,0.19,39
39,27,0,38
38,26,0,40
40,27,0,43
43,26,0,43
43,32,0.01,43
43,30,0,41
41,31,0,41
41,33,0,44
44,37,0.29,53
53,43,0.66,57
57,46,0.5,59
59,49,0.06,57
57,49,0,55
55,48,0,55
55,47,0.05,52
52,47,0.04,61
61,47,0,61
61,45,0,54
54,43,0,52
52,45,0.13,54
54,42,0,53
53,38,0,53
53,37,0,61
61,39,0,59
59,39,0,52
52,37,0,49
49,38,0,51
51,36,0,47
47,35,0,46
46,34,0,45
45,32,0,48
48,40,1.12,50
50,46,0.64,53
53,47,0.02,55
55,50,0.88,59
59,51,0.23,53
53,50,0,59
59,50,0,55
55,49,0.02,55
55,50,1.62,53
53,48,0.81,53
53,47,0.95,50
50,43,0,50
50,38,0.05,48
48,43,0.18,56
56,40,0,52
52,35,0,50
50,40,0.21,50
50,44,0.15,48
48,35,0,50
50,38,0,53
53,40,0,55
55,42,0.34,54
54,44,0.09,56
56,46,0.06,57
57,43,0,56
56,48,0,54
54,49,0.24,58
58,48,0.08,60
60,47,0.16,55
55,51,1.18,58
58,51,0,58
58,51,0,58
58,50,0.8,56
56,50,0.27,55
55,48,0.15,53
53,48,0.53,58
58,49,0.06,55
55,49,0.47,57
57,44,0,57
57,46,0,60
60,45,0,59
59,46,0,62
62,42,0,63
63,46,0,65
65,48,0,60
60,47,0,62
62,46,0,61
61,53,0.14,62
62,52,0,58
58,53,0.74,58
58,53,1.12,60
60,50,0,58
58,47,0,58
58,43,0,55
55,46,0.43,53
53,42,0.05,57
57,40,0,57
57,48,0.29,55
55,42,0.26,57
57,45,0.11,59
59,49,0,57
57,50,0.15,57
57,44,0,62
62,47,0,58
58,48,0,64
64,45,0,60
60,45,0,57
57,48,0,53
53,45,0.04,56
56,39,0,54
54,47,0.57,53
53,45,0.01,54
54,45,0.33,57
57,40,0,61
61,42,0,59
59,43,0,57
57,51,0,57
57,51,0,60
60,47,0,59
59,47,0,57
57,42,0,54
54,48,0.54,56
56,47,0,58
58,45,0,68
68,45,0,74
74,52,0,73
73,54,0,62
62,49,0,60
60,50,0,70
70,49,0,75
75,49,0,65
65,52,0,71
71,56,0,63
63,53,0,60
60,51,0,60
60,51,0.03,61
61,48,0,59
59,50,0,60
60,52,0.01,60
60,50,0.01,58
58,44,0,62
62,49,0,70
70,51,0,75
75,49,0,75
75,49,0,65
65,50,0,73
73,50,0,74
74,52,0,64
64,49,0,61
61,50,0,58
58,50,0,61
61,50,0,65
65,49,0,60
60,49,0,59
59,48,0,60
60,51,0,58
58,50,0.02,62
62,49,0,59
59,50,0,60
60,51,0,68
68,48,0,63
63,50,0,77
77,51,0,76
76,53,0,67
67,51,0,67
67,50,0,68
68,55,0,69
69,55,0,68
68,54,0,72
72,53,0,65
65,53,0,60
60,53,0,60
60,53,0,68
68,53,0,61
61,54,0,66
66,55,0,71
71,58,0.03,63
63,55,0,65
65,53,0,75
75,55,0,91
91,60,0,74
74,59,0,71
71,58,0,69
69,58,0,68
68,55,0,67
67,54,0,69
69,54,0,68
68,54,0,73
73,53,0,81
81,56,0,83
83,58,0,94
94,62,0,73
73,57,0,67
67,55,0,66
66,55,0,67
67,57,0,64
64,56,0,66
66,54,0,65
65,53,0,64
64,55,0,68
68,54,0,72
72,52,0,80
80,58,0,94
94,58,0,89
89,56,0,66
66,56,0,65
65,57,0,68
68,56,0,78
78,60,0,88
88,63,0,81
81,59,0,73
73,57,0,63
63,55,0,64
64,53,0,74
74,52,0,64
64,53,0,71
71,55,0,86
86,55,0,68
68,57,0,68
68,56,0,67
67,54,0,70
70,55,0,76
76,56,0,71
71,56,0,70
70,56,0,69
69,54,0,73
73,56,0,71
71,57,0,69
69,59,0,69
69,59,0,68
68,57,0,65
65,56,0,66
66,58,0,68
68,59,0,69
69,57,0,72
72,57,0,67
67,53,0,77
77,54,0,92
92,58,0,86
86,58,0,71
71,57,0,67
67,58,0,67
67,56,0,69
69,57,0,72
72,56,0,66
66,55,0,68
68,54,0,70
70,55,0,67
67,54,0,71
71,57,0,66
66,59,0,68
68,59,0,68
68,58,0,67
67,57,0,72
72,57,0,66
66,55,0,64
64,55,0,74
74,54,0,73
73,55,0,65
65,54,0,70
70,50,0,63
63,51,0,65
65,53,0,66
66,51,0,69
69,53,0,65
65,53,0,64
64,54,0,65
65,54,0,68
68,54,0,66
66,54,0,70
70,55,0,63
63,54,0,80
80,52,0,71
71,55,0,64
64,54,0,61
61,55,0,72
72,52,0,67
67,53,0,66
66,53,0,66
66,52,0,66
66,57,0,71
71,57,0,71
71,58,0,82
82,57,0,75
75,57,0,70
70,59,0,64
64,56,0,63
63,54,0,60
60,53,0,63
63,56,0,62
62,53,0,62
62,55,0,63
63,57,0,66
66,57,0,70
70,61,0,69
69,58,0.35,69
69,56,0,69
69,59,0.04,67
67,59,0,68
68,58,0.03,74
74,55,0,81
81,53,0,89
89,58,0,86
86,57,0,67
67,52,0,65
65,55,0,64
64,54,0,64
64,53,0,71
71,50,0,75
75,49,0,70
70,46,0,65
65,55,0.08,59
59,51,0.59,58
58,51,0.19,65
65,54,0,68
68,49,0,68
68,49,0,72
72,50,0,76
76,53,0,77
77,54,0,61
61,52,0,73
73,51,0,73
73,52,0,63
63,52,0,68
68,52,0.02,70
70,57,0,69
69,61,0.02,66
66,56,0.45,62
62,52,0,62
62,46,0,64
64,52,0,65
65,47,0,66
66,49,0,69
69,51,0,70
70,49,0,81
81,58,0,76
76,52,0,61
61,51,0,59
59,45,0,58
58,44,0,57
57,42,0,56
56,48,2.06,65
65,55,0.64,62
62,58,0,67
67,55,0,63
63,55,0.21,63
63,59,0.49,63
63,58,0.84,60
60,52,0.16,58
58,51,0.03,59
59,50,0,59
59,50,0,60
60,54,0.66,59
59,51,0.45,55
55,46,0,55
55,42,0,55
55,44,0.26,53
53,41,0,50
50,44,0.2,51
51,43,0.01,57
57,46,0.02,54
54,47,0.14,53
53,40,0,56
56,48,0,58
58,43,0,57
57,48,0.12,57
57,51,1.13,54
54,45,0.12,53
53,37,0,53
53,43,0,50
50,43,0,51
51,43,0,55
55,44,0,51
51,43,0,58
58,44,0,52
52,43,0,50
50,40,0,57
57,43,0.31,54
54,45,0,54
54,45,0.25,52
52,45,0,54
54,44,0,53
53,43,0,58
58,44,0.13,57
57,42,0,53
53,41,0,59
59,43,0,60
60,48,0.58,53
53,46,0.01,52
52,44,0,53
53,43,0,53
53,50,0.01,52
52,48,1.76,57
57,52,0.34,58
58,52,0.02,56
56,48,0.21,56
56,42,0,51
51,43,0.25,51
51,39,0,45
45,36,0,46
46,37,1.4,45
45,36,0.16,45
45,38,0.2,45
45,37,0.26,48
48,36,0.05,49
49,33,0,47
47,33,0,49
49,38,0,50
50,41,0.06,58
58,46,0,58
58,45,0,58
58,45,0.3,63
63,54,0,59
59,54,0.53,60
60,50,0.02,60
60,52,0.15,55
55,50,0.02,52
52,46,0,56
56,40,0,63
63,37,0,65
65,38,0,64
64,47,0,55
55,45,0,60
60,41,0,57
57,37,0,53
53,44,0,53
53,41,0,51
51,47,0,53
53,46,0.23,57
57,45,0.18,57
57,41,0,56
56,42,0,55
55,40,0,60
60,40,0,60
60,43,0,62
62,39,0,60
60,44,0,58
58,40,0,59
59,41,0,51
51,47,0,52
52,43,0.23,50
50,37,0,55
55,43,0,55
55,44,0,55
55,44,0.14,52
52,40,0,52
52,45,0.08,57
57,46,0.72,56
56,40,0,52
52,42,0.06,55
55,40,0,62
62,38,0,59
59,39,0,59
59,43,0,55
55,48,0.07,57
57,45,0,56
56,52,0.42,60
60,48,0.58,52
52,41,0.45,54
54,41,0.19,55
55,40,0,56
56,47,0,53
53,48,0,50
50,43,0.3,55
55,37,0,56
56,41,0,59
59,45,0.07,56
56,50,0.11,60
60,47,0.02,60
60,43,0,65
65,49,0,65
65,49,0,64
64,53,0,62
62,51,0,62
62,49,0,65
65,45,0,60
60,47,0,55
55,51,0,55
55,49,0,56
56,49,0,57
57,48,0,56
56,50,0.56,61
61,55,0.02,60
60,52,0.92,63
63,53,0.32,62
62,56,0.39,58
58,50,0.08,58
58,48,0.18,57
57,50,2.03,57
57,47,0,59
59,44,0,66
66,45,0,63
63,51,0.02,62
62,47,0,66
66,45,0,59
59,49,0.04,56
56,47,0.31,59
59,43,0,63
63,45,0,75
75,48,0,74
74,48,0,70
70,48,0,59
59,49,0,68
68,46,0,55
55,50,0,58
58,49,0.06,59
59,45,0,63
63,47,0,60
60,47,0,57
57,49,0,54
54,47,0.43,56
56,45,0.22,57
57,45,0.01,58
58,50,0.09,61
61,46,0,74
74,48,0,76
76,50,0,57
57,50,0,56
56,49,0,56
56,49,0,61
61,50,0,60
60,51,0,56
56,50,0,60
60,51,0,63
63,52,0,63
63,50,0,60
60,51,0,73
73,50,0,65
65,50,0,60
60,49,0,59
59,48,0,62
62,49,0,60
60,50,0,59
59,44,0,57
57,48,0,57
57,46,0,60
60,46,0,58
58,48,0,62
62,48,0,64
64,50,0,65
65,51,0,68
68,52,0,71
71,51,0,86
86,56,0,63
63,53,0,58
58,51,0,60
60,50,0,68
68,49,0,60
60,52,0,64
64,53,0,63
63,52,0,62
62,52,0,67
67,52,0,67
67,58,0,68
68,57,0,68
68,53,0,76
76,54,0,71
71,53,0,64
64,51,0,62
62,51,0,60
60,51,0,62
62,53,0,65
65,54,0,64
64,56,0,63
63,55,0,66
66,56,0,65
65,57,0.08,67
67,57,0,72
72,54,0,70
70,55,0,63
63,55,0,60
60,53,0,60
60,53,0,66
66,53,0,65
65,53,0,70
70,52,0,83
83,57,0,73
73,56,0,60
60,56,0,66
66,55,0,68
68,53,0,68
68,54,0,67
67,54,0,66
66,53,0,61
61,55,0,63
63,53,0,65
65,58,0.78,64
64,56,0.01,63
63,56,0.01,66
66,52,0,70
70,54,0,67
67,55,0,72
72,54,0,64
64,54,0,67
67,55,0,67
